uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,"Dementia in Alzhiemer's Disease,Unspecified",,Diagnosis,N/A,"Dementia in Alzhiemer's Disease,Unspecified",,,,,ICD 10 - WHO,F00.9,SAME-AS
,Vascular Dementia,,Diagnosis,N/A,Vascular Dementia,,,,,ICD 10 - WHO,F01,SAME-AS
,Vascular Dementia of Acute Onset,,Diagnosis,N/A,Vascular Dementia of Acute Onset,,,,,ICD 10 - WHO,F01.0,SAME-AS
,Multi Infarct Dementia,,Diagnosis,N/A,Multi Infarct Dementia,,,,,ICD 10 - WHO,F01.1,SAME-AS
,Subcortical Vascular Dementia,,Diagnosis,N/A,Subcortical Vascular Dementia,,,,,ICD 10 - WHO,F01.2,SAME-AS
,Mixed Cortical and Subcortical Vascular Dementia,,Diagnosis,N/A,Mixed Cortical and Subcortical Vascular Dementia,,,,,ICD 10 - WHO,F01.3,SAME-AS
,Other Vascular Dementia,,Diagnosis,N/A,Other Vascular Dementia,,,,,ICD 10 - WHO,F01.8,SAME-AS
,"Vascular Dementia,Unspecified",,Diagnosis,N/A,"Vascular Dementia,Unspecified",,,,,ICD 10 - WHO,F01.9,SAME-AS
,Dementia in other Diseases,,Diagnosis,N/A,Dementia in other Diseases,,,,,ICD 10 - WHO,F02,SAME-AS
,Dementia in pick Disease,,Diagnosis,N/A,Dementia in pick Disease,,,,,ICD 10 - WHO,F02.0,SAME-AS
,Dementia in Cruetzfeldt-Jakob Disease,,Diagnosis,N/A,Dementia in Cruetzfeldt-Jakob Disease,,,,,ICD 10 - WHO,F02.1,SAME-AS
,Dementia in Huntington Disease,,Diagnosis,N/A,Dementia in Huntington Disease,,,,,ICD 10 - WHO,F02.2,SAME-AS
,Dementia in Parkinson Disease,,Diagnosis,N/A,Dementia in Parkinson Disease,,,,,ICD 10 - WHO,F02.3,SAME-AS
,Dementia in Human Immunodeficiency Virus[HIV] Disease,,Diagnosis,N/A,Dementia in Human Immunodeficiency Virus[HIV] Disease,,,,,ICD 10 - WHO,F02.4,SAME-AS
,Dementia in Other Specified Disease,,Diagnosis,N/A,Dementia in Other Specified Disease,,,,,ICD 10 - WHO,F02.8,SAME-AS
,Unspecified Dementia,,Diagnosis,N/A,Unspecified Dementia,,,,,ICD 10 - WHO,F03,SAME-AS
,"Organic Amnesia Syndrome,Not Induced by Alcohol and other Psychoactive Substances",,Diagnosis,N/A,"Organic Amnesia Syndrome,Not Induced by Alcohol and other Psychoactive Substances",,,,,ICD 10 - WHO,F04,SAME-AS
,"Delirium,Not Induced by Alcohol and other Psychoactive Substances",,Diagnosis,N/A,"Delirium,Not Induced by Alcohol and other Psychoactive Substances",,,,,ICD 10 - WHO,F05,SAME-AS
,"Delirium,Not Superimposed on Dementia",,Diagnosis,N/A,"Delirium,Not Superimposed on Dementia",,,,,ICD 10 - WHO,F05.0,SAME-AS
,Delirium superimposed on Dementia,,Diagnosis,N/A,Delirium superimposed on Dementia,,,,,ICD 10 - WHO,F05.1,SAME-AS
,Other Delirium,,Diagnosis,N/A,Other Delirium,,,,,ICD 10 - WHO,F05.8,SAME-AS
,"Delirum,Unspecified",,Diagnosis,N/A,"Delirum,Unspecified",,,,,ICD 10 - WHO,F05.9,SAME-AS
,Other mental disorders due to brain damage and dysfunction and to physical disease,,Diagnosis,N/A,Other mental disorders due to brain damage and dysfunction and to physical disease,,,,,ICD 10 - WHO,F06,SAME-AS
,Organic hallucinosis,,Diagnosis,N/A,Organic hallucinosis,,,,,ICD 10 - WHO,F06.0,SAME-AS
,Organic catatonic disorder,,Diagnosis,N/A,Organic catatonic disorder,,,,,ICD 10 - WHO,F06.1,SAME-AS
,Organic delusional [schizophrenia-like] disorder,,Diagnosis,N/A,Organic delusional [schizophrenia-like] disorder,,,,,ICD 10 - WHO,F06.2,SAME-AS
,Organic mood [affective] disorders,,Diagnosis,N/A,Organic mood [affective] disorders,,,,,ICD 10 - WHO,F06.3,SAME-AS
,Organic anxiety disorder,,Diagnosis,N/A,Organic anxiety disorder,,,,,ICD 10 - WHO,F06.4,SAME-AS
,Organic dissociative disorder,,Diagnosis,N/A,Organic dissociative disorder,,,,,ICD 10 - WHO,F06.5,SAME-AS
,Organic emotionally labile [asthenic] disorder,,Diagnosis,N/A,Organic emotionally labile [asthenic] disorder,,,,,ICD 10 - WHO,F06.6,SAME-AS
,Mild Cognitive Disorder,,Diagnosis,N/A,Mild Cognitive Disorder,,,,,ICD 10 - WHO,F06.7,SAME-AS
,Other specified mental disorders due to brain damage and dysfunction and to physical disease,,Diagnosis,N/A,Other specified mental disorders due to brain damage and dysfunction and to physical disease,,,,,ICD 10 - WHO,F06.8,SAME-AS
,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,,Diagnosis,N/A,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,,,,,ICD 10 - WHO,F06.9,SAME-AS
,"Personality and behavioural disorders due to brain disease, damage and dysfunction",,Diagnosis,N/A,"Personality and behavioural disorders due to brain disease, damage and dysfunction",,,,,ICD 10 - WHO,F07,SAME-AS
,Organic personality disorder,,Diagnosis,N/A,Organic personality disorder,,,,,ICD 10 - WHO,F07.0,SAME-AS
,Postencephalitic syndrome,,Diagnosis,N/A,Postencephalitic syndrome,,,,,ICD 10 - WHO,F07.1,SAME-AS
,Postconcussional syndrome,,Diagnosis,N/A,Postconcussional syndrome,,,,,ICD 10 - WHO,F07.2,SAME-AS
,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction",,Diagnosis,N/A,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction",,,,,ICD 10 - WHO,F07.8,SAME-AS
,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",,Diagnosis,N/A,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",,,,,ICD 10 - WHO,F07.9,SAME-AS
,Unspecified organic or symptomatic mental disorder,,Diagnosis,N/A,Unspecified organic or symptomatic mental disorder,,,,,ICD 10 - WHO,F09,SAME-AS
,Manic Episode,,Diagnosis,N/A,Manic Episode,,,,,ICD 10 - WHO,F30,SAME-AS
,Hypomania,,Diagnosis,N/A,Hypomania,,,,,ICD 10 - WHO,F30.0,SAME-AS
,Mania without psychotic symptoms,,Diagnosis,N/A,Mania without psychotic symptoms,,,,,ICD 10 - WHO,F30.1,SAME-AS
,Mania with psychotic symptoms,,Diagnosis,N/A,Mania with psychotic symptoms,,,,,ICD 10 - WHO,F30.2,SAME-AS
,Other manic episodes,,Diagnosis,N/A,Other manic episodes,,,,,ICD 10 - WHO,F30.8,SAME-AS
,"Manic episode, unspecified",,Diagnosis,N/A,"Manic episode, unspecified",,,,,ICD 10 - WHO,F30.9,SAME-AS
,Bipolar affective disorder,,Diagnosis,N/A,Bipolar affective disorder,,,,,ICD 10 - WHO,F31,SAME-AS
,"Bipolar affective disorder, current episode hypomanic",,Diagnosis,N/A,"Bipolar affective disorder, current episode hypomanic",,,,,ICD 10 - WHO,F31.0,SAME-AS
,"Bipolar affective disorder, current episode manic without psychotic symptoms",,Diagnosis,N/A,"Bipolar affective disorder, current episode manic without psychotic symptoms",,,,,ICD 10 - WHO,F31.1,SAME-AS
,"Bipolar affective disorder, current episode manic with psychotic symptoms",,Diagnosis,N/A,"Bipolar affective disorder, current episode manic with psychotic symptoms",,,,,ICD 10 - WHO,F31.2,SAME-AS
,"Bipolar affective disorder, current episode mild or moderate depression",,Diagnosis,N/A,"Bipolar affective disorder, current episode mild or moderate depression",,,,,ICD 10 - WHO,F31.3,SAME-AS
,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",,Diagnosis,N/A,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",,,,,ICD 10 - WHO,F31.4,SAME-AS
,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",,Diagnosis,N/A,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",,,,,ICD 10 - WHO,F31.5,SAME-AS
,"Bipolar affective disorder, current episode mixed",,Diagnosis,N/A,"Bipolar affective disorder, current episode mixed",,,,,ICD 10 - WHO,F31.6,SAME-AS
,"Bipolar affective disorder, currently in remission",,Diagnosis,N/A,"Bipolar affective disorder, currently in remission",,,,,ICD 10 - WHO,F31.7,SAME-AS
,Other bipolar affective disorders,,Diagnosis,N/A,Other bipolar affective disorders,,,,,ICD 10 - WHO,F31.8,SAME-AS
,"Bipolar affective disorder, unspecified",,Diagnosis,N/A,"Bipolar affective disorder, unspecified",,,,,ICD 10 - WHO,F31.9,SAME-AS
,Depressive Episode,,Diagnosis,N/A,Depressive Episode,,,,,ICD 10 - WHO,F32,SAME-AS
,Mild Depressive Episode,,Diagnosis,N/A,Mild Depressive Episode,,,,,ICD 10 - WHO,F32.0,SAME-AS
,Moderate Depressive Episode,,Diagnosis,N/A,Moderate Depressive Episode,,,,,ICD 10 - WHO,F32.1,SAME-AS
,Severe depressive episode without psychotic symptoms,,Diagnosis,N/A,Severe depressive episode without psychotic symptoms,,,,,ICD 10 - WHO,F32.2,SAME-AS
,Severe depressive episode with psychotic symptoms,,Diagnosis,N/A,Severe depressive episode with psychotic symptoms,,,,,ICD 10 - WHO,F32.3,SAME-AS
,Recurrent depressive disorder,,Diagnosis,N/A,Recurrent depressive disorder,,,,,ICD 10 - WHO,F33,SAME-AS
,"Recurrent depressive disorder, current episode mild",,Diagnosis,N/A,"Recurrent depressive disorder, current episode mild",,,,,ICD 10 - WHO,F33.0,SAME-AS
,"Recurrent depressive disorder, current episode moderate",,Diagnosis,N/A,"Recurrent depressive disorder, current episode moderate",,,,,ICD 10 - WHO,F33.1,SAME-AS
,"Recurrent depressive disorder, current episode severe without psychotic symptoms",,Diagnosis,N/A,"Recurrent depressive disorder, current episode severe without psychotic symptoms",,,,,ICD 10 - WHO,F33.2,SAME-AS
,"Recurrent depressive disorder, current episode severe with psychotic symptoms",,Diagnosis,N/A,"Recurrent depressive disorder, current episode severe with psychotic symptoms",,,,,ICD 10 - WHO,F33.3,SAME-AS
,"Recurrent depressive disorder, currently in remission",,Diagnosis,N/A,"Recurrent depressive disorder, currently in remission",,,,,ICD 10 - WHO,F33.4,SAME-AS
,Other recurrent depressive disorders,,Diagnosis,N/A,Other recurrent depressive disorders,,,,,ICD 10 - WHO,F33.8,SAME-AS
,"Recurrent depressive disorder, unspecified",,Diagnosis,N/A,"Recurrent depressive disorder, unspecified",,,,,ICD 10 - WHO,F33.9,SAME-AS
,Persistent mood [affective] disorders,,Diagnosis,N/A,Persistent mood [affective] disorders,,,,,ICD 10 - WHO,F34,SAME-AS
,Cyclothymia,,Diagnosis,N/A,Cyclothymia,,,,,ICD 10 - WHO,F34.0,SAME-AS
,Dysthymia,,Diagnosis,N/A,Dysthymia,,,,,ICD 10 - WHO,F34.1,SAME-AS
,Other persistent mood [affective] disorders,,Diagnosis,N/A,Other persistent mood [affective] disorders,,,,,ICD 10 - WHO,F34.8,SAME-AS
,"Persistent mood [affective] disorder, unspecified",,Diagnosis,N/A,"Persistent mood [affective] disorder, unspecified",,,,,ICD 10 - WHO,F34.9,SAME-AS
,Other mood [affective] disorders,,Diagnosis,N/A,Other mood [affective] disorders,,,,,ICD 10 - WHO,F38,SAME-AS
,Other single mood [affective] disorders,,Diagnosis,N/A,Other single mood [affective] disorders,,,,,ICD 10 - WHO,F38.0,SAME-AS
,Other recurrent mood [affective] disorders,,Diagnosis,N/A,Other recurrent mood [affective] disorders,,,,,ICD 10 - WHO,F38.1,SAME-AS
,Other specified mood [affective] disorders,,Diagnosis,N/A,Other specified mood [affective] disorders,,,,,ICD 10 - WHO,F38.8,SAME-AS
,Unspecified mood [affective] disorder,,Diagnosis,N/A,Unspecified mood [affective] disorder,,,,,ICD 10 - WHO,F39,SAME-AS
,Eating disorders,,Diagnosis,N/A,Eating disorders,,,,,ICD 10 - WHO,F50,SAME-AS
,Anorexia nervosa,,Diagnosis,N/A,Anorexia nervosa,,,,,ICD 10 - WHO,F50.0,SAME-AS
,Atypical anorexia nervosa,,Diagnosis,N/A,Atypical anorexia nervosa,,,,,ICD 10 - WHO,F50.1,SAME-AS
,Bulimia nervosa,,Diagnosis,N/A,Bulimia nervosa,,,,,ICD 10 - WHO,F50.2,SAME-AS
,Atypical bulimia nervosa,,Diagnosis,N/A,Atypical bulimia nervosa,,,,,ICD 10 - WHO,F50.3,SAME-AS
,Overeating associated with other psychological disturbances,,Diagnosis,N/A,Overeating associated with other psychological disturbances,,,,,ICD 10 - WHO,F50.4,SAME-AS
,Vomiting associated with other psychological disturbances,,Diagnosis,N/A,Vomiting associated with other psychological disturbances,,,,,ICD 10 - WHO,F50.5,SAME-AS
,Other eating disorders,,Diagnosis,N/A,Other eating disorders,,,,,ICD 10 - WHO,F50.8,SAME-AS
,"Eating disorder, unspecified",,Diagnosis,N/A,"Eating disorder, unspecified",,,,,ICD 10 - WHO,F50.9,SAME-AS
,Nonorganic sleep disorders,,Diagnosis,N/A,Nonorganic sleep disorders,,,,,ICD 10 - WHO,F51,SAME-AS
,Nonorganic insomnia,,Diagnosis,N/A,Nonorganic insomnia,,,,,ICD 10 - WHO,F51.0,SAME-AS
,Nonorganic hypersomnia,,Diagnosis,N/A,Nonorganic hypersomnia,,,,,ICD 10 - WHO,F51.1,SAME-AS
,Nonorganic disorder of the sleep-wake schedule,,Diagnosis,N/A,Nonorganic disorder of the sleep-wake schedule,,,,,ICD 10 - WHO,F51.2,SAME-AS
,Sleepwalking [somnambulism],,Diagnosis,N/A,Sleepwalking [somnambulism],,,,,ICD 10 - WHO,F51.3,SAME-AS
,Sleep terrors [night terrors],,Diagnosis,N/A,Sleep terrors [night terrors],,,,,ICD 10 - WHO,F51.4,SAME-AS
,Nightmares,,Diagnosis,N/A,Nightmares,,,,,ICD 10 - WHO,F51.5,SAME-AS
,Other nonorganic sleep disorders,,Diagnosis,N/A,Other nonorganic sleep disorders,,,,,ICD 10 - WHO,F51.8,SAME-AS
,"Nonorganic sleep disorder, unspecified",,Diagnosis,N/A,"Nonorganic sleep disorder, unspecified",,,,,ICD 10 - WHO,F51.9,SAME-AS
,"Sexual dysfunction, not caused by organic disorder or disease",,Diagnosis,N/A,"Sexual dysfunction, not caused by organic disorder or disease",,,,,ICD 10 - WHO,F52,SAME-AS
,Lack or loss of sexual desire,,Diagnosis,N/A,Lack or loss of sexual desire,,,,,ICD 10 - WHO,F52.0,SAME-AS
,Sexual aversion and lack of sexual enjoymen,,Diagnosis,N/A,Sexual aversion and lack of sexual enjoymen,,,,,ICD 10 - WHO,F52.1,SAME-AS
,Failure of genital response,,Diagnosis,N/A,Failure of genital response,,,,,ICD 10 - WHO,F52.2,SAME-AS
,Orgasmic dysfunction,,Diagnosis,N/A,Orgasmic dysfunction,,,,,ICD 10 - WHO,F52.3,SAME-AS
,Premature ejaculation,,Diagnosis,N/A,Premature ejaculation,,,,,ICD 10 - WHO,F52.4,SAME-AS
,Nonorganic vaginismus,,Diagnosis,N/A,Nonorganic vaginismus,,,,,ICD 10 - WHO,F52.5,SAME-AS
,Nonorganic dyspareunia,,Diagnosis,N/A,Nonorganic dyspareunia,,,,,ICD 10 - WHO,F52.6,SAME-AS
,Excessive sexual drive,,Diagnosis,N/A,Excessive sexual drive,,,,,ICD 10 - WHO,F52.7,SAME-AS
,"Other sexual dysfunction, not caused by organic disorder or disease",,Diagnosis,N/A,"Other sexual dysfunction, not caused by organic disorder or disease",,,,,ICD 10 - WHO,F52.8,SAME-AS
,"Unspecified sexual dysfunction, not caused by organic disorder or disease",,Diagnosis,N/A,"Unspecified sexual dysfunction, not caused by organic disorder or disease",,,,,ICD 10 - WHO,F52.9,SAME-AS
,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",,Diagnosis,N/A,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",,,,,ICD 10 - WHO,F53,SAME-AS
,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",,Diagnosis,N/A,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",,,,,ICD 10 - WHO,F53.0,SAME-AS
,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",,Diagnosis,N/A,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",,,,,ICD 10 - WHO,F53.1,SAME-AS
,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",,Diagnosis,N/A,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",,,,,ICD 10 - WHO,F53.8,SAME-AS
,"Puerperal mental disorder, unspecified",,Diagnosis,N/A,"Puerperal mental disorder, unspecified",,,,,ICD 10 - WHO,F53.9,SAME-AS
,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,,Diagnosis,N/A,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,,,,,ICD 10 - WHO,F54,SAME-AS
,Abuse of non-dependence-producing substances,,Diagnosis,N/A,Abuse of non-dependence-producing substances,,,,,ICD 10 - WHO,F55,SAME-AS
,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,,Diagnosis,N/A,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,,,,,ICD 10 - WHO,F59,SAME-AS
,Specific personality disorders,,Diagnosis,N/A,Specific personality disorders,,,,,ICD 10 - WHO,F60,SAME-AS
,Paranoid personality disorder,,Diagnosis,N/A,Paranoid personality disorder,,,,,ICD 10 - WHO,F60.0,SAME-AS
,Schizoid personality disorder,,Diagnosis,N/A,Schizoid personality disorder,,,,,ICD 10 - WHO,F60.1,SAME-AS
,Dissocial personality disorder,,Diagnosis,N/A,Dissocial personality disorder,,,,,ICD 10 - WHO,F60.2,SAME-AS
,Emotionally unstable personality disorder,,Diagnosis,N/A,Emotionally unstable personality disorder,,,,,ICD 10 - WHO,F60.3,SAME-AS
,Histrionic personality disorder,,Diagnosis,N/A,Histrionic personality disorder,,,,,ICD 10 - WHO,F60.4,SAME-AS
,Anankastic personality disorder,,Diagnosis,N/A,Anankastic personality disorder,,,,,ICD 10 - WHO,F60.5,SAME-AS
,Anxious [avoidant] personality disorder,,Diagnosis,N/A,Anxious [avoidant] personality disorder,,,,,ICD 10 - WHO,F60.6,SAME-AS
,Dependent personality disorder,,Diagnosis,N/A,Dependent personality disorder,,,,,ICD 10 - WHO,F60.7,SAME-AS
,Other specific personality disorders,,Diagnosis,N/A,Other specific personality disorders,,,,,ICD 10 - WHO,F60.8,SAME-AS
,"Personality disorder, unspecified",,Diagnosis,N/A,"Personality disorder, unspecified",,,,,ICD 10 - WHO,F60.9,SAME-AS
,Mixed and other personality disorders,,Diagnosis,N/A,Mixed and other personality disorders,,,,,ICD 10 - WHO,F61,SAME-AS
,"Enduring personality changes, not attributable to brain damage and disease",,Diagnosis,N/A,"Enduring personality changes, not attributable to brain damage and disease",,,,,ICD 10 - WHO,F62,SAME-AS
,Enduring personality change after catastrophic experience,,Diagnosis,N/A,Enduring personality change after catastrophic experience,,,,,ICD 10 - WHO,F62.0,SAME-AS
,Enduring personality change after psychiatric illness,,Diagnosis,N/A,Enduring personality change after psychiatric illness,,,,,ICD 10 - WHO,F62.1,SAME-AS
,Other enduring personality changes,,Diagnosis,N/A,Other enduring personality changes,,,,,ICD 10 - WHO,F62.8,SAME-AS
,"Enduring personality change, unspecified",,Diagnosis,N/A,"Enduring personality change, unspecified",,,,,ICD 10 - WHO,F62.9,SAME-AS
,Habit and impulse disorders,,Diagnosis,N/A,Habit and impulse disorders,,,,,ICD 10 - WHO,F63,SAME-AS
,Pathological gambling,,Diagnosis,N/A,Pathological gambling,,,,,ICD 10 - WHO,F63.0,SAME-AS
,Pathological fire-setting [pyromania],,Diagnosis,N/A,Pathological fire-setting [pyromania],,,,,ICD 10 - WHO,F63.1,SAME-AS
,Pathological stealing [kleptomania],,Diagnosis,N/A,Pathological stealing [kleptomania],,,,,ICD 10 - WHO,F63.2,SAME-AS
,Trichotillomania,,Diagnosis,N/A,Trichotillomania,,,,,ICD 10 - WHO,F63.3,SAME-AS
,Other habit and impulse disorders,,Diagnosis,N/A,Other habit and impulse disorders,,,,,ICD 10 - WHO,F63.8,SAME-AS
,"Habit and impulse disorder, unspecified",,Diagnosis,N/A,"Habit and impulse disorder, unspecified",,,,,ICD 10 - WHO,F63.9,SAME-AS
,Gender identity disorders,,Diagnosis,N/A,Gender identity disorders,,,,,ICD 10 - WHO,F64,SAME-AS
,Transsexualism,,Diagnosis,N/A,Transsexualism,,,,,ICD 10 - WHO,F64.0,SAME-AS
,Dual-role transvestism,,Diagnosis,N/A,Dual-role transvestism,,,,,ICD 10 - WHO,F64.1,SAME-AS
,Gender identity disorder of childhood,,Diagnosis,N/A,Gender identity disorder of childhood,,,,,ICD 10 - WHO,F64.2,SAME-AS
,Other gender identity disorders,,Diagnosis,N/A,Other gender identity disorders,,,,,ICD 10 - WHO,F64.8,SAME-AS
,"Gender identity disorder, unspecified",,Diagnosis,N/A,"Gender identity disorder, unspecified",,,,,ICD 10 - WHO,F64.9,SAME-AS
,Disorders of sexual preference,,Diagnosis,N/A,Disorders of sexual preference,,,,,ICD 10 - WHO,F65,SAME-AS
,Fetishism,,Diagnosis,N/A,Fetishism,,,,,ICD 10 - WHO,F65.0,SAME-AS
,Fetishistic transvestism,,Diagnosis,N/A,Fetishistic transvestism,,,,,ICD 10 - WHO,F65.1,SAME-AS
,Exhibitionism,,Diagnosis,N/A,Exhibitionism,,,,,ICD 10 - WHO,F65.2,SAME-AS
,Voyeurism,,Diagnosis,N/A,Voyeurism,,,,,ICD 10 - WHO,F65.3,SAME-AS
,Paedophilia,,Diagnosis,N/A,Paedophilia,,,,,ICD 10 - WHO,F65.4,SAME-AS
,Sadomasochism,,Diagnosis,N/A,Sadomasochism,,,,,ICD 10 - WHO,F65.5,SAME-AS
,Multiple disorders of sexual preference,,Diagnosis,N/A,Multiple disorders of sexual preference,,,,,ICD 10 - WHO,F65.6,SAME-AS
,Other disorders of sexual preference,,Diagnosis,N/A,Other disorders of sexual preference,,,,,ICD 10 - WHO,F65.8,SAME-AS
,"Disorder of sexual preference, unspecified",,Diagnosis,N/A,"Disorder of sexual preference, unspecified",,,,,ICD 10 - WHO,F65.9,SAME-AS
,Psychological and behavioural disorders associated with sexual development and orientation,,Diagnosis,N/A,Psychological and behavioural disorders associated with sexual development and orientation,,,,,ICD 10 - WHO,F66,SAME-AS
,Sexual maturation disorder,,Diagnosis,N/A,Sexual maturation disorder,,,,,ICD 10 - WHO,F66.0,SAME-AS
,Egodystonic sexual orientation,,Diagnosis,N/A,Egodystonic sexual orientation,,,,,ICD 10 - WHO,F66.1,SAME-AS
,Sexual relationship disorder,,Diagnosis,N/A,Sexual relationship disorder,,,,,ICD 10 - WHO,F66.2,SAME-AS
,Other psychosexual development disorders,,Diagnosis,N/A,Other psychosexual development disorders,,,,,ICD 10 - WHO,F66.8,SAME-AS
,"Psychosexual development disorder, unspecified",,Diagnosis,N/A,"Psychosexual development disorder, unspecified",,,,,ICD 10 - WHO,F66.9,SAME-AS
,Other disorders of adult personality and behaviour,,Diagnosis,N/A,Other disorders of adult personality and behaviour,,,,,ICD 10 - WHO,F68,SAME-AS
,Elaboration of physical symptoms for psychological reasons,,Diagnosis,N/A,Elaboration of physical symptoms for psychological reasons,,,,,ICD 10 - WHO,F68.0,SAME-AS
,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",,Diagnosis,N/A,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",,,,,ICD 10 - WHO,F68.1,SAME-AS
,Other specified disorders of adult personality and behaviour,,Diagnosis,N/A,Other specified disorders of adult personality and behaviour,,,,,ICD 10 - WHO,F68.8,SAME-AS
,Unspecified disorder of adult personality and behaviour,,Diagnosis,N/A,Unspecified disorder of adult personality and behaviour,,,,,ICD 10 - WHO,F69,SAME-AS
,Mild Mental Retardation,,Diagnosis,N/A,Mild Mental Retardation,,,,,ICD 10 - WHO,F70,SAME-AS
,Moderate Mental Retardation,,Diagnosis,N/A,Moderate Mental Retardation,,,,,ICD 10 - WHO,F71,SAME-AS
,Severe Mental Retardation,,Diagnosis,N/A,Severe Mental Retardation,,,,,ICD 10 - WHO,F72,SAME-AS
,Profound Mental Retardation,,Diagnosis,N/A,Profound Mental Retardation,,,,,ICD 10 - WHO,F73,SAME-AS
,Other Mental Retardation,,Diagnosis,N/A,Other Mental Retardation,,,,,ICD 10 - WHO,F78,SAME-AS
,Unspecified  Mental Retardation,,Diagnosis,N/A,Unspecified  Mental Retardation,,,,,ICD 10 - WHO,F79,SAME-AS
,Specific developmental disorders of speech and language,,Diagnosis,N/A,Specific developmental disorders of speech and language,,,,,ICD 10 - WHO,F80,SAME-AS
,Specific speech articulation disorder,,Diagnosis,N/A,Specific speech articulation disorder,,,,,ICD 10 - WHO,F80.0,SAME-AS
,Expressive language disorder,,Diagnosis,N/A,Expressive language disorder,,,,,ICD 10 - WHO,F80.1,SAME-AS
,Receptive language disorder,,Diagnosis,N/A,Receptive language disorder,,,,,ICD 10 - WHO,F80.2,SAME-AS
,Acquired aphasia with epilepsy [Landau-Kleffner],,Diagnosis,N/A,Acquired aphasia with epilepsy [Landau-Kleffner],,,,,ICD 10 - WHO,F80.3,SAME-AS
,Other developmental disorders of speech and language,,Diagnosis,N/A,Other developmental disorders of speech and language,,,,,ICD 10 - WHO,F80.8,SAME-AS
,"Developmental disorder of speech and language, unspecified",,Diagnosis,N/A,"Developmental disorder of speech and language, unspecified",,,,,ICD 10 - WHO,F80.9,SAME-AS
,Specific developmental disorders of scholastic skills,,Diagnosis,N/A,Specific developmental disorders of scholastic skills,,,,,ICD 10 - WHO,F81,SAME-AS
,Specific reading disorder,,Diagnosis,N/A,Specific reading disorder,,,,,ICD 10 - WHO,F81.0,SAME-AS
,Specific spelling disorder,,Diagnosis,N/A,Specific spelling disorder,,,,,ICD 10 - WHO,F81.1,SAME-AS
,Specific disorder of arithmetical skills,,Diagnosis,N/A,Specific disorder of arithmetical skills,,,,,ICD 10 - WHO,F81.2,SAME-AS
,Mixed disorder of scholastic skills,,Diagnosis,N/A,Mixed disorder of scholastic skills,,,,,ICD 10 - WHO,F81.3,SAME-AS
,Other developmental disorders of scholastic skills,,Diagnosis,N/A,Other developmental disorders of scholastic skills,,,,,ICD 10 - WHO,F81.8,SAME-AS
,"Developmental disorder of scholastic skills, unspecified",,Diagnosis,N/A,"Developmental disorder of scholastic skills, unspecified",,,,,ICD 10 - WHO,F81.9,SAME-AS
,Specific developmental disorder of motor function,,Diagnosis,N/A,Specific developmental disorder of motor function,,,,,ICD 10 - WHO,F82,SAME-AS
,Mixed specific developmental disorders,,Diagnosis,N/A,Mixed specific developmental disorders,,,,,ICD 10 - WHO,F83,SAME-AS
,Pervasive developmental disorders,,Diagnosis,N/A,Pervasive developmental disorders,,,,,ICD 10 - WHO,F84,SAME-AS
,Childhood autism,,Diagnosis,N/A,Childhood autism,,,,,ICD 10 - WHO,F84.0,SAME-AS
,Atypical autism,,Diagnosis,N/A,Atypical autism,,,,,ICD 10 - WHO,F84.1,SAME-AS
,Rett Syndrome,,Diagnosis,N/A,Rett Syndrome,,,,,ICD 10 - WHO,F84.2,SAME-AS
,Other childhood disintegrative disorder,,Diagnosis,N/A,Other childhood disintegrative disorder,,,,,ICD 10 - WHO,F84.3,SAME-AS
,Overactive disorder associated with mental retardation and stereotyped movements,,Diagnosis,N/A,Overactive disorder associated with mental retardation and stereotyped movements,,,,,ICD 10 - WHO,F84.4,SAME-AS
,Asperger syndrome,,Diagnosis,N/A,Asperger syndrome,,,,,ICD 10 - WHO,F84.5,SAME-AS
,Other pervasive developmental disorders,,Diagnosis,N/A,Other pervasive developmental disorders,,,,,ICD 10 - WHO,F84.8,SAME-AS
